n,w,mode,iter_idx,elapsed_ms,vol_first,vol_last,vol_norm,rss_mb
2000,104,full,1,795.2973000938073,10.647805213928223,10.538804054260254,108.83853149414062,0.0
2000,104,full,2,807.0850999793038,10.647805213928223,10.538804054260254,108.83853149414062,0.0
2000,104,full,3,796.3329000631347,10.647805213928223,10.538804054260254,108.83853149414062,0.0
2000,104,full,4,809.6986999735236,10.647805213928223,10.538804054260254,108.83853149414062,0.0
2000,104,full,5,838.795299991034,10.647805213928223,10.538804054260254,108.83853149414062,0.0
2000,104,full,6,815.0207999860868,10.647805213928223,10.538804054260254,108.83853149414062,0.0
2000,104,full,7,799.8381999786943,10.647805213928223,10.538804054260254,108.83853149414062,0.0
2000,104,full,8,809.5773999812081,10.647805213928223,10.538804054260254,108.83853149414062,0.0
2000,104,full,9,794.8408999945968,10.647805213928223,10.538804054260254,108.83853149414062,0.0
2000,104,approx-k=30,0,0.06870005745440722,10.647805324604981,10.647805324604981,108.58673425419592,0.0
2000,104,approx-k=30,1,0.05859998054802418,10.647805324604981,10.647805324604981,108.58673425419592,0.0
2000,104,approx-k=30,2,0.07609999738633633,10.647805324604981,10.647805324604981,108.58673425419592,0.0
2000,104,approx-k=30,3,0.06919994484633207,10.647805324604981,10.647805324604981,108.58673425419592,0.0
2000,104,approx-k=30,4,0.06330001633614302,10.647805324604981,10.647805324604981,108.58673425419592,0.0
2000,104,approx-k=30,5,0.0467000063508749,10.647805324604981,10.647805324604981,108.58673425419592,0.0
2000,104,approx-k=30,6,0.05349994171410799,10.647805324604981,10.647805324604981,108.58673425419592,0.0
2000,104,approx-k=30,7,0.04569999873638153,10.647805324604981,10.647805324604981,108.58673425419592,0.0
2000,104,approx-k=30,8,0.049400026910007,10.647805324604981,10.647805324604981,108.58673425419592,0.0
2000,104,approx-k=30,9,0.04409998655319214,10.647805324604981,10.647805324604981,108.58673425419592,0.0
4000,104,full,0,21587.5080000842,14.18359088897705,14.126741409301758,145.00306701660156,0.0
4000,104,full,1,19929.913499974646,14.18359088897705,14.126741409301758,145.00306701660156,0.0
4000,104,full,2,18849.827000056393,14.18359088897705,14.126741409301758,145.00306701660156,0.0
4000,104,full,3,25111.36430001352,14.18359088897705,14.126741409301758,145.00306701660156,0.0
4000,104,full,4,18637.934900005348,14.18359088897705,14.126741409301758,145.00306701660156,0.0
4000,104,full,5,20943.319399957545,14.18359088897705,14.126741409301758,145.00306701660156,0.0
